clade	species	ts	te
0	1	8	2
0	2	11	6
0	3	7	1
0	4	4	3
0	5	8	6
0	6	15	2
0	7	8	8
0	8	2	0
0	9	5	0
0	10	2	1
0	11	3	0
0	12	2	0
0	13	3	0
0	14	22	13
0	15	20	18
0	16	24	19
0	17	24	7
0	18	2	0
0	19	21	17
0	20	19	8
0	21	19	19
0	22	18	14
0	23	19	9
0	24	21	11
0	25	9	7
0	26	12	4
0	27	10	5
0	28	9	5
0	29	8	8
0	30	13	6
0	31	13	7
0	32	10	4
0	33	22	22
0	34	16	16
0	35	15	15
0	36	21	17
0	37	21	17
0	38	23	17
0	39	22	22
0	40	17	17
0	41	22	22
0	42	22	22
0	43	12	5
0	44	6	2
0	45	19	15
0	46	20	8
0	47	14	14
0	48	22	14
0	49	20	15
0	50	17	8
0	51	18	11
0	52	2	0
0	53	22	6
0	54	12	5
0	55	19	10
0	56	21	17
0	57	17	17
0	58	19	11
0	59	20	5
0	60	7	7
0	61	6	3
0	62	2	0
0	63	3	0
0	64	5	3
0	65	5	3
0	66	3	0
0	67	5	0
0	68	1	0
0	69	6	1
0	70	5	2
0	71	3	0
0	72	3	0
0	73	4	3
0	74	4	1
0	75	22	22
