it	posterior	likelihood	prior	lambda_avg	mu_avg	K_l	K_m	root_age	death_age	gamma_rate_hp_BI	gamma_rate_hp_D	poisson_rate_hp	corr_coeff	rsquared	gelman_r2
0	-621506.608362	-621495.769068	-10.8392947502	3.20027104905	3.86301204216	1	1	1968.0	2000.5	1.0	1.0	1	-1.26814930868	0.494310392432	0.494310392432
10000	-105825.524733	-105789.174583	-36.3501501073	0.573150139936	0.137908816367	7	5	1968.0	2000.5	2.6766447909529414	21.278128137627007	5.961484214629214	1.70368864387	0.590629538698	0.590629538698
20000	-105817.485406	-105775.53866	-41.9467465167	0.428249088578	0.117862919825	8	6	1968.0	2000.5	6.461819269610218	7.979396033491146	3.1896484421913893	1.10098750268	0.77352179599	0.77352179599
30000	-105798.563272	-105765.407762	-33.155509897	0.341874510524	0.121072239176	7	6	1968.0	2000.5	5.597352141669333	21.219678825620736	4.148100135614624	0.662322291739	0.679355771827	0.679355771827
40000	-105801.640901	-105768.566261	-33.0746399598	0.332345349435	0.136564938578	8	5	1968.0	2000.5	5.0555560078420845	17.483522737143126	4.208874926768122	0.579456004776	0.632911607342	0.632911607342
50000	-105799.998832	-105772.595839	-27.4029931307	0.341947540185	0.132517367735	6	5	1968.0	2000.5	4.817437046630493	23.07670486253772	3.9321100748158497	0.60712435847	0.670280036296	0.670280036296
60000	-105800.79377	-105771.000829	-29.7929412039	0.329335731775	0.132978427276	7	5	1968.0	2000.5	6.746310399456173	19.85478157334455	3.1431431295698813	0.586998436487	0.648118621261	0.648118621261
70000	-105802.579562	-105775.24689	-27.3326718826	0.320499238125	0.132423929753	6	5	1968.0	2000.5	4.70863126894537	23.33711237248608	3.2727639363298895	0.550369522093	0.58776160099	0.58776160099
80000	-105800.82495	-105764.893326	-35.9316247251	0.357354347359	0.113040469655	8	6	1968.0	2000.5	6.312132004216266	19.868883925513767	2.8716768944705287	0.850329070727	0.849886954254	0.849886954254
90000	-105799.235692	-105768.030614	-31.2050785281	0.34085380265	0.130784003987	7	5	1968.0	2000.5	4.364267401274013	9.892157333581315	5.622368115198978	0.614140616991	0.653347674651	0.653347674651
100000	-105794.028527	-105761.421488	-32.6070395271	0.325697308642	0.114406989623	7	6	1968.0	2000.5	6.6709120246164675	26.403903631633582	3.694949463248242	0.623574486045	0.67070724101	0.67070724101
110000	-105806.58482	-105778.008825	-28.5759955099	0.320289507292	0.139166695545	6	6	1968.0	2000.5	7.430410644360113	10.958498143296298	5.7637767859750255	0.513397520085	0.51504831883	0.51504831883
120000	-105799.412976	-105769.936531	-29.4764442374	0.316279889665	0.140142797744	7	5	1968.0	2000.5	5.714230394755534	9.906294492503724	3.893047716539524	0.51285347895	0.550019985078	0.550019985078
130000	-105800.598289	-105770.503603	-30.0946855637	0.336111216171	0.14005997618	6	6	1968.0	2000.5	4.4079816010268305	10.456797468475669	6.615055039407114	0.566019842479	0.645285400586	0.645285400586
140000	-105802.461735	-105770.286566	-32.1751697094	0.311346342122	0.137788054423	8	5	1968.0	2000.5	7.2192129120352595	13.267064967080831	5.290498437451866	0.507527342698	0.497407381295	0.497407381295
150000	-105796.67672	-105766.627977	-30.0487428978	0.324951359248	0.136830570337	7	5	1968.0	2000.5	4.286486440241047	12.897387035181838	6.0369406686096845	0.596168830395	0.658300289347	0.658300289347
160000	-105797.378082	-105767.911868	-29.4662144664	0.322071610451	0.14145649338	7	5	1968.0	2000.5	6.850648650055628	10.497429383260616	3.6198897778940684	0.562222291837	0.63122186336	0.63122186336
170000	-105801.803657	-105770.349097	-31.4545606978	0.328410535356	0.120935796182	7	6	1968.0	2000.5	5.728167046311538	11.405763131389135	4.848692822481455	0.599262842732	0.653345882803	0.653345882803
180000	-105798.446361	-105771.990791	-26.4555702204	0.330777383137	0.137744920902	6	5	1968.0	2000.5	6.603093135549402	10.858300628322324	6.017754013793738	0.562201397888	0.617171543573	0.617171543573
190000	-105805.481264	-105779.034426	-26.4468378153	0.314903029555	0.138678832853	6	5	1968.0	2000.5	5.554135281124637	19.092237090831773	4.9838216638543535	0.517330128089	0.48400593391	0.48400593391
200000	-105805.209958	-105777.09005	-28.1199071266	0.321553536267	0.138816238964	6	5	1968.0	2000.5	8.409177039076463	7.8727701140440445	4.695927404855523	0.548263133788	0.581053591565	0.581053591565
210000	-105798.370778	-105765.812611	-32.5581670562	0.329833589425	0.135928936653	7	5	1968.0	2000.5	5.801620610321888	5.978610084195578	6.9915968680080685	0.629327934544	0.637909726203	0.637909726203
220000	-105797.716707	-105765.36532	-32.3513865196	0.325126137389	0.135959284568	8	5	1968.0	2000.5	6.448660893696899	13.80585927118729	5.676114350751619	0.60726463005	0.646378834988	0.646378834988
230000	-105796.042299	-105762.311507	-33.7307924507	0.31982362002	0.110134966079	7	7	1968.0	2000.5	7.564882885705741	25.056714517681698	7.074679238300277	0.577288258709	0.618924647908	0.618924647908
240000	-105802.439295	-105774.693134	-27.7461613892	0.344872334406	0.141952143814	6	5	1968.0	2000.5	6.874314299936423	9.02581651643861	3.8435966980341707	0.595461407757	0.674899798303	0.674899798303
250000	-105795.730677	-105761.78084	-33.9498367547	0.326135012006	0.124671260929	7	6	1968.0	2000.5	6.406935868885781	9.7919172296395	4.2247151655926585	0.60800948716	0.659040538817	0.659040538817
260000	-105792.358553	-105760.421496	-31.9370576827	0.330082386802	0.119630876048	7	6	1968.0	2000.5	5.594931706571384	15.829283072490925	5.021116708100514	0.638956179342	0.671812954803	0.671812954803
270000	-105796.92867	-105766.97876	-29.9499098299	0.320483744201	0.131305788869	7	5	1968.0	2000.5	4.93636175027778	12.31929871254499	4.626753326648513	0.578218399475	0.62915684353	0.62915684353
