clade	band_id	ts	te
0	1	1991	2000
0	3	1988	2000
0	4	1989	2000
0	6	1991	2000
0	7	1989	2000
0	8	1991	2000
0	9	1999	2000
0	10	1996	2000
0	11	1993	2000
0	12	1993	2000
0	13	1994	2000
0	14	1987	2000
0	15	1998	1998
0	16	1996	2000
0	17	1993	2000
0	18	1997	2000
0	19	1992	1997
0	20	1995	2000
0	21	1989	2000
0	22	1997	2000
0	24	1992	2000
0	25	1979	2000
0	26	1997	2000
0	28	1990	2000
0	29	1993	2000
0	30	1992	2000
0	31	1988	2000
0	32	1995	2000
0	33	1997	2000
0	34	1985	2000
0	35	1983	2000
0	36	1994	2000
0	37	1989	2000
0	38	1995	2000
0	39	1996	2000
0	40	1998	1999
0	41	1991	2000
0	42	1987	2000
0	43	1991	2000
0	44	1992	2000
0	45	1993	2000
0	46	1995	2000
0	48	1996	2000
0	49	1998	2000
0	50	1995	2000
0	51	1990	2000
0	57	1996	2000
0	58	1991	2000
0	59	2000	2000
0	60	1986	2000
0	61	1993	2000
0	63	1992	2000
0	65	1999	2000
0	67	1986	2000
0	68	1986	2000
0	69	1994	2000
0	70	1987	2000
0	71	1992	2000
0	72	1983	2000
0	73	2000	2000
0	74	2000	2000
0	75	1991	2000
0	76	1989	2000
0	77	1983	2000
0	78	1985	2000
0	79	1998	2000
0	80	1995	1999
0	81	1993	2000
0	82	1986	2000
0	83	1981	2000
0	84	1978	2000
0	85	1997	2000
0	86	1994	2000
0	87	1994	2000
0	88	1991	2000
0	89	1996	2000
0	90	1993	2000
0	91	1988	2000
0	92	1999	2000
0	93	1996	2000
0	94	1989	2000
0	95	1998	2000
0	96	1992	2000
0	97	1974	2000
0	98	2000	2000
0	99	1969	2000
0	100	1999	2000
0	101	1997	2000
0	102	1997	2000
0	103	1991	2000
0	104	1991	2000
0	105	1982	2000
0	106	1989	2000
0	107	1997	2000
0	108	1975	2000
0	109	1998	2000
0	110	1983	1984
0	112	1996	2000
0	113	1978	1990
0	114	1997	2000
0	115	1983	2000
0	116	1985	2000
0	117	1986	1993
0	118	2000	2000
0	119	1990	2000
0	120	1986	1996
0	121	1985	2000
0	122	1988	2000
0	123	1989	2000
0	124	1998	2000
0	125	1982	2000
0	126	1983	2000
0	127	1992	2000
0	128	1980	2000
0	129	1992	2000
0	130	1986	1989
0	131	1997	2000
0	132	1999	2000
0	133	1987	1992
0	134	1998	2000
0	135	1992	2000
0	136	2000	2000
0	137	1984	2000
0	138	1984	2000
0	139	1994	2000
0	140	1985	2000
0	141	1984	2000
0	142	1983	2000
0	143	1991	2000
0	145	1988	2000
0	146	1988	2000
0	147	1992	2000
0	148	1990	2000
0	150	1993	2000
0	151	1990	2000
0	152	1987	2000
0	153	1997	2000
0	154	1995	2000
0	155	1984	2000
0	156	1991	2000
0	157	1985	2000
0	158	1999	2000
0	159	1984	2000
0	160	1999	2000
0	161	1998	2000
0	162	1990	2000
0	163	1983	2000
0	164	1994	2000
0	165	1989	2000
0	166	1991	2000
0	167	1987	2000
0	168	1983	2000
0	169	1982	2000
0	170	1994	2000
0	171	1992	2000
0	172	1994	2000
0	173	1982	2000
0	174	1988	2000
0	175	1987	2000
0	177	1992	2000
0	178	1996	2000
0	179	1983	2000
0	181	1997	2000
0	182	1981	1999
0	183	1991	2000
0	184	1984	2000
0	185	1999	2000
0	186	1989	2000
0	188	1998	2000
0	189	1991	2000
0	190	1985	2000
0	191	1988	2000
0	192	1999	2000
0	193	1983	2000
0	194	1988	2000
0	195	1980	2000
0	196	1995	2000
0	197	1992	2000
0	198	1979	2000
0	199	1992	1993
0	200	1996	2000
0	201	1997	2000
0	202	1995	2000
0	203	1977	2000
0	204	2000	2000
0	205	1999	2000
0	206	2000	2000
0	207	1992	2000
0	208	1987	2000
0	209	1994	2000
0	210	2000	2000
0	211	1992	2000
0	212	1996	2000
0	213	1998	2000
