it	posterior	likelihood	likelihood_birth	likelihood_death	prior	l_max	steepness_k	midpoint_x0	initCarryingCap	maxCarryingCap	m_max	nuB	nuD	l_0	l_1	l_2	l_3	l_4	l_5	l_6	l_7	l_8	l_9	l_10	l_11	l_12	l_13	l_14	l_15	l_16	l_17	l_18	l_19	l_20	l_21	l_22	l_23	l_24	l_25	l_26	l_27	l_28	l_29	l_30	l_31	m_0	m_1	m_2	m_3	m_4	m_5	m_6	m_7	m_8	m_9	m_10	m_11	m_12	m_13	m_14	m_15	m_16	m_17	m_18	m_19	m_20	m_21	m_22	m_23	m_24	m_25	m_26	m_27	m_28	m_29	m_30	m_31	niche_0	niche_1	niche_2	niche_3	niche_4	niche_5	niche_6	niche_7	niche_8	niche_9	niche_10	niche_11	niche_12	niche_13	niche_14	niche_15	niche_16	niche_17	niche_18	niche_19	niche_20	niche_21	niche_22	niche_23	niche_24	niche_25	niche_26	niche_27	niche_28	niche_29	niche_30	niche_31	nicheFrac_0	nicheFrac_1	nicheFrac_2	nicheFrac_3	nicheFrac_4	nicheFrac_5	nicheFrac_6	nicheFrac_7	nicheFrac_8	nicheFrac_9	nicheFrac_10	nicheFrac_11	nicheFrac_12	nicheFrac_13	nicheFrac_14	nicheFrac_15	nicheFrac_16	nicheFrac_17	nicheFrac_18	nicheFrac_19	nicheFrac_20	nicheFrac_21	nicheFrac_22	nicheFrac_23	nicheFrac_24	nicheFrac_25	nicheFrac_26	nicheFrac_27	nicheFrac_28	nicheFrac_29	nicheFrac_30	nicheFrac_31	corr_coeff	rsquared	gelman_r2
0	-106054.191946	-106016.631936	-61124.6129697	-44892.0189667	-37.5600097812	1.16207198137	1.258852016	1981.15495795	70.937950852	63048.3758271	0.168874417425	0.128018390309	3.01329305383	0.488656100783	0.426182269078	0.334647784325	0.283534484179	0.227944599367	0.221655229799	0.206935150835	0.208113133258	0.245858479379	0.308426610037	0.385553055416	0.45102428949	0.501218194371	0.52358115045	0.52044996644	0.494185131254	0.464831984174	0.43909858134	0.417493772718	0.392318087332	0.37196977628	0.354197565292	0.337610547482	0.321247737335	0.304585380099	0.290173967306	0.277426709706	0.265757593857	0.255423064079	0.244842701573	0.233008798356	0.221157971247	0.168874864365	0.16887802448	0.168931381359	0.169107947288	0.169864178739	0.170033531277	0.170545105012	0.170497273613	0.169501883012	0.168993137005	0.168887196896	0.168876024764	0.168874704342	0.168874545024	0.168874560596	0.168874785531	0.168875430515	0.16887679501	0.168879172307	0.168884818184	0.168893638722	0.168906864322	0.168926769131	0.168957560214	0.169006370018	0.169069758646	0.169149311156	0.169248635103	0.169364551238	0.169518463455	0.169745302401	0.170048043933	70.9419985231	70.9522042245	70.9881423169	71.1146935512	71.5603240678	73.1295067737	78.6545677041	98.1026731232	166.491249341	406.134782387	1235.66166035	3989.63567705	11998.7911147	28498.1204121	46889.1711567	57426.655993	61342.9144716	62554.4824904	62907.3280481	63008.2567644	63036.9776228	63045.1385473	63047.456471	63048.1147458	63048.301685	63048.3547722	63048.3698479	63048.3741291	63048.3753449	63048.3756901	63048.3757882	63048.375816	0.014096022396	0.0281879896736	0.0704342984167	0.112494332753	0.181664912357	0.191441192723	0.216134936549	0.214061445335	0.15616436361	0.089871642575	0.0428920000519	0.0215558529554	0.0121678924656	0.009298858878	0.00966107928174	0.013216858737	0.0184943935216	0.0245466022397	0.0308946518681	0.0400582420402	0.0491140298401	0.0584343231673	0.0684880920134	0.0798517135731	0.0930794302647	0.106021799049	0.118750096443	0.131549784028	0.143873651785	0.1575219011	0.174112336167	0.192233342146	0.519713007722	0.71542119128	0.71542119128
1	-106055.035458	-106015.71914	-61126.0795742	-44889.6395658	-39.3163176114	0.886600514847	2.15074130414	1980.44783988	291.350292142	53298.1387533	0.168036776665	0.192721859745	3.7493508315	0.589583554733	0.547134494374	0.481569718923	0.443169150509	0.39967527416	0.392672689174	0.373855790665	0.352678627791	0.331441356608	0.304260512279	0.32452384428	0.425110172055	0.523195195808	0.550910208715	0.530494968396	0.495565166482	0.464364890959	0.439039866338	0.418251171616	0.39405735352	0.374280995782	0.356821203463	0.340357779092	0.323954619035	0.307085361309	0.292360844529	0.279233706719	0.267132716181	0.256348986169	0.245244195178	0.232746820179	0.220150682727	0.168036776762	0.168036777966	0.168036817042	0.16803701187	0.1680382288	0.168038693786	0.168040744465	0.168045496257	0.168055399895	0.168083974044	0.168060473127	0.168037288015	0.168036781562	0.168036777711	0.168036779965	0.168036797036	0.168036867367	0.168037058349	0.168037458015	0.16803859189	0.168040680938	0.168044270189	0.168050367702	0.168060944387	0.16807971378	0.16810673315	0.168143790988	0.168193857714	0.168256532444	0.168345460263	0.168486108891	0.16868808488	291.350292267	291.350293217	291.350301378	291.350371489	291.350973827	291.35614865	291.400606679	291.782552522	295.063708339	323.236128166	564.043437626	2546.06498338	14933.9673621	40910.6238649	51481.0362689	53080.025208	53272.6581638	53295.1716074	53297.7933669	53298.0985508	53298.1340738	53298.1382086	53298.1386899	53298.1387459	53298.1387525	53298.1387532	53298.1387533	53298.1387533	53298.1387533	53298.1387533	53298.1387533	53298.1387533	0.00343229448036	0.00686458893834	0.0171614718651	0.0274583483766	0.0446197238651	0.0480511568568	0.0583389313898	0.0719714041106	0.0881165635257	0.112920545754	0.0939643943436	0.0337776139106	0.00977637063612	0.00647753504995	0.00879935667249	0.0142991642718	0.021296102712	0.0288112403748	0.036464924291	0.0473562860332	0.0580883374962	0.0691206132863	0.0810159623983	0.0944592084913	0.110107034455	0.125417137566	0.14047394853	0.155615190211	0.170193560454	0.186338589533	0.205964040336	0.227400060931	0.599963625372	0.731051753474	0.731051753474
2	-106056.847431	-106018.080766	-61127.8513788	-44890.2293871	-38.7666647398	1.01959584405	2.12722678532	1980.00659494	77.7943192199	54553.8352066	0.168632854914	0.158140996382	3.56948638341	0.507452334047	0.448121346864	0.359012742839	0.308043269215	0.251262188677	0.242230238946	0.218212308877	0.192875816146	0.179739747269	0.219108142372	0.359702887351	0.495840895073	0.573319282501	0.572521227541	0.540568365098	0.500863069691	0.466951616897	0.439873314246	0.417865348837	0.392474460828	0.37188595247	0.353827525821	0.33689725627	0.320119790742	0.302956879121	0.288049242042	0.274814675876	0.262660064454	0.251864419516	0.240781939874	0.228350756462	0.215864400775	0.168632884922	0.168633211162	0.168642234697	0.168683065084	0.168916902801	0.169002642751	0.169367770905	0.170116605159	0.170750704338	0.169349449526	0.168642015981	0.168632904688	0.168632856256	0.168632856311	0.168632861551	0.168632894959	0.168633022142	0.168633347205	0.168633996402	0.168635756404	0.168638870465	0.168644045122	0.168652579174	0.168666973545	0.168691822728	0.168726706212	0.168773523747	0.168835568883	0.168911919712	0.169018509854	0.169184209334	0.169417938372	77.7943196605	77.7943229169	77.794350243	77.7945795517	77.7965038102	77.812651341	77.9481539849	79.0852063826	88.6249830225	168.547149584	830.088825274	5806.01398966	27124.7576337	48680.1923747	53780.4379155	54460.5044098	54542.696417	54552.5075878	54553.6769944	54553.8163528	54553.8329598	54553.8349388	54553.8351746	54553.8352028	54553.8352061	54553.8352065	54553.8352065	54553.8352066	54553.8352066	54553.8352066	54553.8352066	54553.8352066	0.0128544089641	0.0257088168521	0.0642720195539	0.102834928167	0.167102624968	0.179919328782	0.218093683185	0.265536387405	0.293371001193	0.216556613921	0.0638485887128	0.0148122274857	0.0053825365731	0.00544369253844	0.00842313706541	0.0139367052917	0.020800218444	0.0281471937386	0.0356254629766	0.0462662407278	0.056751282761	0.0675296247117	0.0791511721619	0.0922849875043	0.107572638621	0.122530340437	0.137240580275	0.15203330744	0.166276119097	0.182049528918	0.201223249629	0.222165865225	0.554476747124	0.705115577956	0.705115577956
3	-106055.8224	-106015.854894	-61126.4755314	-44889.3793628	-39.9675063102	0.85981460212	1.32850530897	1981.19404689	100.146776796	55041.3470069	0.170559402334	0.200138903265	3.90368248179	0.517836449188	0.466949958758	0.387888467749	0.341396262613	0.28872166404	0.281057709233	0.261466722179	0.247809760816	0.258671677701	0.298854367034	0.369586399707	0.435342530118	0.486499163195	0.511026798486	0.510866677788	0.488624860196	0.462572397947	0.439231398213	0.419332298703	0.395793530949	0.376462233304	0.359353271505	0.343195203912	0.327075981139	0.310479385501	0.295977536811	0.283037205202	0.271098865626	0.260452507639	0.249481849518	0.237126687587	0.224664687123	0.170559404977	0.170559441877	0.17056081571	0.170568236785	0.170617733342	0.170635054381	0.170704217434	0.170784298997	0.17071799802	0.170600541429	0.170562370999	0.170559581209	0.170559416946	0.170559406216	0.170559406251	0.170559415406	0.170559451417	0.170559551814	0.17055977061	0.170560418966	0.170561656105	0.170563844179	0.170567657657	0.17057443364	0.170586746526	0.170604857755	0.17063016408	0.170664923935	0.170709081035	0.170772612395	0.170874593019	0.171023306739	100.148117793	100.151839588	100.165890834	100.21893979	100.419219688	101.175342477	104.029817916	114.803920095	155.44235693	308.327983223	877.933752614	2925.58773179	9434.95512935	24049.3720401	41016.6432029	50468.4631795	53751.1731318	54693.6120544	54948.8109022	55016.8063182	55034.8447092	55039.6245748	55040.8907709	55041.2261616	55041.3149982	55041.3385287	55041.3447613	55041.3464121	55041.3468494	55041.3469652	55041.3469959	55041.347004	0.00998521012717	0.0199696781231	0.049917191954	0.0798252308074	0.129457289554	0.13837363588	0.163414685718	0.182920583049	0.167264576486	0.118380432481	0.0603690196922	0.0293958027871	0.0154743714197	0.0110189987314	0.0110442972566	0.0150390947571	0.0211065160795	0.0280745765789	0.0353692822117	0.045876890516	0.0562552691183	0.0669335960857	0.0784507652315	0.091467802429	0.106619909066	0.121445084344	0.136025019601	0.150686720813	0.16480337999	0.18043708135	0.199440976632	0.220198099424	0.536315909782	0.757226185772	0.757226185772
4	-106052.567471	-106014.061863	-61124.1151972	-44889.9466653	-38.5056088137	1.12293099577	1.34831223198	1981.42443718	110.646490997	60288.2643983	0.168666511117	0.135889012354	3.37853483705	0.530546123357	0.472038345308	0.385739717582	0.337154268175	0.283703116137	0.275747808599	0.255201729652	0.237870188076	0.238537718794	0.265029988641	0.332077623706	0.405154079634	0.468952474795	0.506265345653	0.514796610212	0.493693465292	0.465747523722	0.440244794736	0.418598684136	0.393287822127	0.372791962931	0.354866362323	0.338115650632	0.321571670232	0.304704718323	0.290100140697	0.277169663241	0.26532278042	0.254822892345	0.244065613952	0.232024796731	0.219957306446	0.168666532082	0.168666729145	0.168671328884	0.168690062023	0.168787458114	0.168819432127	0.168943976424	0.169120190422	0.169111759251	0.16887554295	0.168694151443	0.168668992378	0.168666756352	0.168666568035	0.168666551373	0.168666605125	0.168666788047	0.168667224721	0.168668061736	0.168670241204	0.16867393866	0.168679871984	0.168689355995	0.168704885197	0.168730920174	0.168766505303	0.168813177279	0.168873776462	0.168947003931	0.169047489019	0.16920086323	0.169413134761	110.647320008	110.649683452	110.658784887	110.693833766	110.828803832	111.348557181	113.350002197	121.056164658	150.713558107	264.649259233	699.403411459	2316.37941117	7801.11892056	21817.4542377	41321.8239035	53864.1532035	58476.909404	59807.1745454	60162.5920751	60255.579507	60279.7734314	60286.0592492	60287.6917537	60288.1156939	60288.2257829	60288.2543707	60288.2617943	60288.2637221	60288.2642227	60288.2643527	60288.2643864	60288.2643952	0.00903772454615	0.0180750630061	0.0451839409324	0.0722714150178	0.117298026781	0.12573131035	0.149977941514	0.173473197827	0.172512681185	0.137918390952	0.0757788697219	0.0371269057156	0.018715263988	0.0121462383793	0.0109627300348	0.0140910040325	0.0194008201111	0.0256741772483	0.03230412675	0.0418882370836	0.0513605115574	0.0611086550669	0.07162324306	0.0835073370938	0.0973407315241	0.110875660106	0.124186695339	0.137572381222	0.150460460538	0.164733553149	0.182083530049	0.201034150205	0.53773487316	0.76806518552	0.76806518552
5	-106053.862555	-106014.000519	-61125.4380946	-44888.5624242	-39.8620360943	1.26840142191	1.68153511405	1980.66856687	78.4328158482	64795.6605837	0.169966558409	0.115177279136	3.64592358712	0.500945230055	0.437163574475	0.344642995482	0.293264778078	0.237219472046	0.228581797977	0.206168873399	0.185878492767	0.186749083445	0.233571453337	0.34033351886	0.447714907872	0.52967854559	0.559159023825	0.543869503506	0.506681108443	0.472051255797	0.444085214607	0.421461591826	0.395589769809	0.374813830813	0.356737047066	0.339909941141	0.32334614104	0.306513101253	0.291980707729	0.279146573929	0.267414205446	0.257036453751	0.24642412706	0.234569005202	0.222712099117	0.169966579455	0.169966821859	0.169973997834	0.170007830146	0.170208611868	0.170281759468	0.170585660698	0.171093461077	0.171065123663	0.170237240942	0.169975178754	0.169966734232	0.169966564698	0.169966560142	0.169966561813	0.169966575006	0.169966626212	0.169966760592	0.169967034802	0.169967793305	0.16996915878	0.169971460314	0.169975304172	0.16998186522	0.169993325218	0.170009585674	0.170031611064	0.170061040376	0.170097519727	0.170148799129	0.170229102066	0.170343238992	78.432852106	78.4330106901	78.4338628893	78.4384424362	78.4630519898	78.5952984646	79.3059551874	83.1246143274	103.637605889	213.647963968	798.47193246	3768.22363633	15949.0128824	41227.6777613	58562.3914037	63537.0587389	64557.6828872	64751.2428303	64787.3903489	64794.1214315	64795.3741603	64795.6072836	64795.6506652	64795.658738	64795.6602403	64795.6605198	64795.6605718	64795.6605815	64795.6605833	64795.6605837	64795.6605837	64795.6605837	0.0127497594841	0.0254994674105	0.0637479758846	0.10199080644	0.165683078472	0.178127703228	0.214359690389	0.25263275108	0.250874185842	0.170841787219	0.0663767852637	0.0228224246488	0.00915417155135	0.00642772075434	0.00773533985108	0.0119457843197	0.0175734312209	0.0237138305441	0.0299981213865	0.038954151152	0.0477811887056	0.0568557060339	0.066640275322	0.0776981066024	0.0905693371784	0.103162772729	0.115547861291	0.128002399012	0.139993942779	0.153274153092	0.169417209441	0.187049563054	0.538718502594	0.713102464683	0.713102464683
6	-106056.702466	-106014.907723	-61126.167128	-44888.7405947	-41.7947430342	1.34758411792	1.68230424058	1980.92503345	196.279513695	63915.9070485	0.166619506499	0.106801129481	4.15811073733	0.580798000206	0.521879789193	0.436989925792	0.390115753107	0.339167216206	0.331200608672	0.310159663434	0.287871609952	0.270756449979	0.264589089867	0.317800447693	0.411278481176	0.500639967052	0.545335303427	0.540343988616	0.5055828641	0.470927911508	0.442570315226	0.419590427444	0.393338686076	0.372295361988	0.354014182964	0.337020352791	0.32031427128	0.303358432468	0.288737383849	0.275838116015	0.264056852465	0.253644221658	0.243004259606	0.231127760105	0.219259375744	0.166619506547	0.166619507368	0.166619545771	0.166619783711	0.166621593011	0.166622340988	0.16662580064	0.166633906135	0.166646375681	0.166653066256	0.166624226501	0.166619622616	0.166619508837	0.166619506782	0.166619506859	0.16661950836	0.166619515449	0.166619537412	0.166619588557	0.166619749608	0.166620074855	0.166620677684	0.166621773124	0.166623798068	0.166627624043	0.166633455137	0.166641856247	0.1666537144	0.166669147449	0.166691867071	0.166729238274	0.166785132201	196.279536659	196.279637193	196.280177859	196.283085522	196.298722741	196.382818532	196.835076322	199.267178659	212.34368045	282.576291944	657.642392896	2601.22535911	11295.8798238	34062.4595032	54942.3294954	62031.2533389	63556.8191237	63848.8287116	63903.4234678	63913.5854185	63915.4753401	63915.826774	63915.8921218	63915.9042729	63915.9065324	63915.9069525	63915.9070306	63915.9070451	63915.9070478	63915.9070483	63915.9070484	63915.9070485	0.00509477461085	0.0101895440026	0.0254737898373	0.0407574599651	0.0662255964711	0.0712893322575	0.0863667203919	0.105386146085	0.122443012878	0.129168656538	0.0805909116756	0.0330613415323	0.012925066686	0.00777982576317	0.00824500897869	0.0122357676034	0.0178501695906	0.0240489924559	0.0304130810923	0.0394908216066	0.0484389732459	0.0576383062841	0.067557533137	0.0787675627415	0.0918159550319	0.104582729382	0.117138289165	0.129764254056	0.141920852241	0.155383854484	0.171749107647	0.18962415711	0.587952799805	0.76757740089	0.76757740089
7	-106058.971854	-106019.358099	-61129.8364962	-44889.5216028	-39.6137546621	1.70368153701	1.8139676226	1981.38602407	144.262007212	64703.2607923	0.170782470941	0.0817541850828	3.56431196456	0.569013799241	0.502858070478	0.4094487038	0.358750584705	0.304295303682	0.295801863402	0.273342663664	0.248832291386	0.225756790635	0.199082064202	0.217957493576	0.30788369759	0.426990605627	0.51462885315	0.541491783171	0.514101155318	0.478710447194	0.448765500469	0.42448042215	0.396874544642	0.37487157941	0.355846758009	0.338235177202	0.320989398107	0.303552922232	0.288570684263	0.2753930081	0.263389934892	0.252806723633	0.242016831932	0.230001721734	0.218024728669	0.170782474381	0.170782511634	0.170783537288	0.170788165263	0.170814605013	0.170824305822	0.170865878341	0.170957421699	0.171129909702	0.171540301894	0.171219525558	0.170811201945	0.17078305912	0.170782497426	0.170782480721	0.170782497944	0.170782567879	0.170782748775	0.170783111709	0.170784096369	0.170785836946	0.170788726683	0.170793488446	0.170801513659	0.170815356699	0.17083477562	0.170860821727	0.170895320305	0.170937752276	0.170996962118	0.171088960981	0.171218664087	144.262009051	144.262018492	144.26207641	144.262431722	144.264611466	144.277983629	144.360018244	144.863274675	147.950450103	166.883007502	282.78672192	984.814144233	4977.69681209	21562.361393	48745.8452718	61423.591794	64144.913679	64611.583163	64688.2989957	64700.8214549	64702.8631528	64703.1959743	64703.2502265	64703.25907	64703.2605115	64703.2607465	64703.2607848	64703.2607911	64703.2607921	64703.2607923	64703.2607923	64703.2607923	0.00693183192567	0.013863662944	0.0346591434452	0.0554544929302	0.0901121894543	0.0970349019847	0.117761137792	0.144964277848	0.175734510993	0.218716096661	0.187420398102	0.0873261218917	0.0293308342214	0.012289934074	0.00929309969853	0.0123568156441	0.0176865153436	0.0237650886239	0.0300440733513	0.039010323876	0.0478495054027	0.0569369092906	0.0667354419582	0.0778090635984	0.0906986750529	0.103310094775	0.115712869942	0.128185193429	0.140193861777	0.153493036957	0.169659146472	0.18731668005	0.547612298406	0.755729431495	0.755729431495
8	-106055.759743	-106015.881738	-61127.835889	-44888.0458494	-39.8780049341	1.57690982708	1.51795284413	1981.61278358	238.545294776	69263.7816893	0.168909742283	0.0868001451148	3.54462134024	0.5964419876	0.535641258967	0.449442874154	0.40249748573	0.351958619072	0.344104365266	0.323387255478	0.301269037245	0.282301089858	0.263997075164	0.284391759172	0.348097639417	0.430192565369	0.492332674386	0.518183527987	0.500516401219	0.470803304886	0.443371471012	0.420403661185	0.393970094313	0.372831994857	0.354525461505	0.337561483462	0.320935994045	0.304113467902	0.289648392652	0.276917761943	0.265315572119	0.255080869236	0.244641547269	0.233011217786	0.221411958363	0.168909742915	0.168909749647	0.168909931797	0.168910744897	0.168915344614	0.168917015412	0.168924106452	0.168939083961	0.16896335317	0.169004856892	0.168959929065	0.168916112892	0.168910120632	0.168909781171	0.168909756804	0.168909770826	0.168909829063	0.16890997827	0.168910277642	0.168911089516	0.168912519151	0.168914884691	0.168918770419	0.168925299345	0.168936527487	0.168952234964	0.168973253051	0.169001033236	0.169035137823	0.169082643182	0.169156316616	0.169259980599	238.545368048	238.545629106	238.54682028	238.55225546	238.57705549	238.690214697	239.20654127	241.562376701	252.309718024	301.3060434	523.990023443	1522.08245315	5731.25947597	19765.0180278	44611.7468508	61771.6978233	67469.7672863	68862.4607039	69175.4270278	69244.3985008	69259.5327364	69262.8504437	69263.5775953	69263.7369599	69263.7718864	69263.7795409	69263.7812184	69263.7815861	69263.7816667	69263.7816843	69263.7816882	69263.781689	0.00419207469079	0.0083841402062	0.0209602458508	0.0335356292674	0.0544897327754	0.0586534308404	0.0710682906486	0.0869340676589	0.103047953141	0.121139289435	0.101146963928	0.0565015382853	0.0254743308364	0.0134075263492	0.010154276216	0.0122871804847	0.0168149386848	0.022298070448	0.0280952367554	0.0364506018486	0.04470142777	0.0531886859464	0.0623415675297	0.0726859424711	0.0847268325154	0.0965078724307	0.108094012026	0.119745122344	0.130963106283	0.143386626582	0.158488314274	0.174983226507	0.56833292073	0.771370657347	0.771370657347
9	-106056.381199	-106015.625501	-61127.4256672	-44888.1998334	-40.7556983983	1.27726712718	1.40051698303	1981.59290778	106.510843599	70674.0975447	0.167323411589	0.110214621096	3.76379090362	0.513724792484	0.453109077045	0.365535146698	0.317080662072	0.264383002423	0.256408766126	0.235695705177	0.216649341901	0.211592497607	0.229329558487	0.293062187825	0.370588514224	0.44288231776	0.4905879457	0.508181995534	0.491123051297	0.464210981199	0.438972689212	0.417517345811	0.392544950446	0.372439789483	0.354941214161	0.338659631687	0.322643546019	0.306379064675	0.292347301485	0.279962755623	0.2686474311	0.258643334047	0.248417680344	0.236999920952	0.2255860845	0.167323415505	0.167323464783	0.167325084801	0.167333218262	0.1673842162	0.167402888479	0.167481226335	0.167616433579	0.167668113645	0.167517732559	0.16734621218	0.167324795538	0.167323492641	0.167323422443	0.167323416603	0.167323422194	0.167323445064	0.16732350667	0.167323636962	0.167324010755	0.167324702234	0.167325894078	0.167327924028	0.167331453287	0.167337730297	0.167346784609	0.167359224501	0.167376057354	0.167397158109	0.167427136515	0.167474616232	0.167542896681	106.511224576	106.512389336	106.51711511	106.536288972	106.614082917	106.929714297	108.210295576	113.405517331	134.476229028	219.837412854	564.063895078	1926.85441753	6952.29110179	21528.3796942	45184.7592325	62042.3843998	68330.6460251	70081.683812	70527.1560886	70637.8240406	70665.1537677	70671.8929659	70673.5541705	70673.9636188	70674.064536	70674.0894091	70674.0955396	70674.0970505	70674.0974229	70674.0975147	70674.0975373	70674.0975429	0.00938868184061	0.0187771583426	0.0469408131722	0.0750917840036	0.121935110675	0.130927124345	0.157101502306	0.185176175677	0.193342720776	0.166031793798	0.0939609864458	0.0446323288452	0.0210002714015	0.0123093332505	0.0100255043447	0.012233572377	0.0166030919653	0.0219101470809	0.027556761222	0.0357315649835	0.0438122587291	0.0521282202216	0.0610978187058	0.0712355688321	0.0830361185327	0.0945820463467	0.105936976524	0.117355584947	0.128349711291	0.140525317609	0.155325648045	0.171491400971	0.517771224928	0.759811988807	0.759811988807
