it	posterior	likelihood	prior	lambda_avg	mu_avg	K_l	K_m	root_age	death_age	gamma_rate_hp_BI	gamma_rate_hp_D	poisson_rate_hp	corr_coeff	rsquared	gelman_r2
0	-8926.17279793	-8918.51445075	-7.65834717842	1.3079144419	3.69530150242	1	1	1968.0	2000.5	1.0	1.0	1	3.61839356044	0.0427989512473	0.104491028393
10000	-468.540363046	-455.018090481	-13.5222725656	0.127417823898	0.043323935253	4	2	1968.0	2000.5	11.732747227262083	11.614986501990794	3.0573709475390416	0.471414975549	0.630206183473	0.652696917857
20000	-461.704626289	-456.575848888	-5.12877740087	0.0672202143202	0.0351239789227	3	2	1968.0	2000.5	26.650760743240923	54.58144559974415	1.7030018282954036	0.288442456599	0.426339158287	0.476873096446
30000	-461.981432334	-456.238565459	-5.74286687487	0.0737082439559	0.0307918389208	3	2	1968.0	2000.5	18.69811122566465	26.971043081742913	1.168687102211944	0.36295210827	0.465521619057	0.503725628836
40000	-464.322914722	-454.362064304	-9.96085041832	0.0889168175713	0.0160920064322	4	3	1968.0	2000.5	16.33154082960978	36.19409740752092	3.2209663331536147	0.349477023663	0.498135185536	0.522819211539
50000	-458.349742985	-453.929244337	-4.42049864765	0.0695535596031	0.00298264815068	3	1	1968.0	2000.5	16.059609434220462	34.22473337991828	2.2771014895573995	0.317985413182	0.477818061806	0.502463831275
60000	-460.317988078	-456.022640738	-4.29534734072	0.0806100045346	0.00314652258412	3	1	1968.0	2000.5	21.106623451764264	43.15246303047464	1.5267830314480362	0.353186736569	0.484768777359	0.507696077222
70000	-458.117855357	-452.032127751	-6.08572760634	0.0748403244307	0.00210032286187	3	1	1968.0	2000.5	11.039203204213978	37.26269349997819	1.6308026363036716	0.36707495655	0.483126364335	0.497551590008
80000	-461.110707997	-452.318408905	-8.79229909235	0.10960454779	0.00216477765265	4	1	1968.0	2000.5	17.717475107592392	27.99856128368655	3.6271524537301483	0.402157053407	0.5558157947	0.573913406535
90000	-462.85631636	-453.199549109	-9.6567672512	0.104990639083	0.00396857642574	4	1	1968.0	2000.5	11.537531036557072	27.156702598515654	2.667258344578533	0.423936362973	0.62251738052	0.636491568538
100000	-458.114262177	-451.851159867	-6.26310230932	0.0758359297175	0.000775521690059	3	1	1968.0	2000.5	17.702874132284	34.012880475097916	2.0369221670146254	0.373318757167	0.481519947908	0.493048213889
110000	-462.194226191	-451.310588473	-10.8836377185	0.108339393397	0.00119453815333	4	1	1968.0	2000.5	11.070509448519685	25.639474040675122	1.6021890443578866	0.44717906197	0.623267963318	0.62746460502
120000	-465.292295233	-458.152993232	-7.13930200108	0.083031406337	0.00145127961581	3	1	1968.0	2000.5	12.52005401779684	29.3273774228671	2.0054765498164953	0.323195374024	0.564112405084	0.582584644327
130000	-465.670068756	-457.885512284	-7.78455647293	0.0648410140072	0.00129781799974	3	1	1968.0	2000.5	22.280671451497366	9.93720827019537	2.9783736508878356	0.334751835477	0.455818086315	0.470751694379
140000	-463.62505877	-454.4666912	-9.15836756977	0.0533725838966	0.000676957490337	4	1	1968.0	2000.5	48.17328086271867	19.526593209825723	1.8592847516240472	0.342981500154	0.483797442825	0.492347570832
150000	-464.751486894	-454.141185635	-10.610301259	0.0995040483736	0.00336728433723	4	1	1968.0	2000.5	10.385446514205004	17.1909725189654	1.7146387653880946	0.361690073087	0.595270215571	0.615213193429
160000	-457.94256834	-451.787946608	-6.15462173262	0.0725572295935	0.00180907003832	3	1	1968.0	2000.5	16.701463968738107	22.74994583379752	1.5221527824199006	0.357463527155	0.482829374693	0.496556812224
170000	-456.479229175	-452.216502221	-4.26272695416	0.0722338791312	0.00152153275321	3	1	1968.0	2000.5	25.857495229535708	44.72800797482213	3.1062522771232164	0.333485692494	0.478964630378	0.497869958883
180000	-456.359685976	-452.358349655	-4.00133632148	0.0686319910654	0.00189241753477	3	1	1968.0	2000.5	23.942587973543507	39.250079009865914	1.947991795472522	0.326909400619	0.480891917274	0.49835829616
190000	-461.742451425	-454.955362513	-6.78708891192	0.0832762840728	0.000966449759804	3	1	1968.0	2000.5	27.05578791351551	17.900790545545192	1.5145739267884313	0.386780330387	0.47775853101	0.491169072357
200000	-463.675859098	-455.505256295	-8.17060280213	0.0934248292662	0.000958062475036	3	1	1968.0	2000.5	20.161329084847	13.088909436174806	1.8333469999784902	0.425339126599	0.494892601175	0.499441334783
210000	-462.258608903	-456.572782258	-5.68582664406	0.0628569622614	0.000805335489622	3	1	1968.0	2000.5	43.278576920350396	33.65989143754109	2.3041393288752716	0.285511390564	0.459185453534	0.478586635548
220000	-463.728395578	-462.297539966	-1.4308556117	0.0589843618949	0.00105073186869	2	1	1968.0	2000.5	38.65375441890066	43.870864923054256	1.114184939043467	0.253062450391	0.419501258417	0.45156696901
230000	-463.734158469	-454.372528708	-9.36162976163	0.0967928450138	0.00104293296481	4	1	1968.0	2000.5	10.703699042290213	40.704436390486215	3.0056014765597023	0.487309340357	0.501569020044	0.504513647414
240000	-464.38725828	-455.934949568	-8.4523087123	0.104054219704	0.00142100802145	4	1	1968.0	2000.5	24.950980068484842	29.13534691373297	1.2155465882958318	0.388696865327	0.48196321281	0.495831871481
250000	-460.666748598	-450.507748204	-10.1590003944	0.140114898864	0.00255464548602	4	1	1968.0	2000.5	11.914613274446154	38.12184749354144	3.6200641227561468	0.498508977763	0.704004383474	0.702353348304
260000	-463.588244842	-455.974450329	-7.61379451299	0.0889519801568	0.000671457442517	3	1	1968.0	2000.5	10.250879484475924	32.910592640322506	1.7149609859848012	0.408803922039	0.47532278768	0.489783018809
270000	-461.28466811	-456.4941842	-4.79048391013	0.0768025352847	0.00434424624651	3	1	1968.0	2000.5	9.647733207107686	60.78489722568867	2.1909178754022283	0.382903665956	0.483865684966	0.500564789539
280000	-459.941669149	-454.945254109	-4.99641504029	0.0807143384347	0.00158163179137	3	1	1968.0	2000.5	39.24778111163172	40.91609356255287	1.8318484517759064	0.35000281008	0.477001556222	0.498200004186
290000	-459.982708229	-454.639929956	-5.34277827276	0.0844608432335	0.0019124771701	3	1	1968.0	2000.5	18.488800560571047	40.3938631202863	2.56069311279467	0.40585650337	0.485606821714	0.496279692274
300000	-462.533928228	-456.140297909	-6.39363031862	0.0620351147629	0.00231408923229	3	1	1968.0	2000.5	24.7755812088817	12.521658798133428	2.843986112819314	0.291481082669	0.465730359328	0.487978812292
310000	-458.739523153	-453.281112046	-5.45841110685	0.078270369016	0.00146094458905	3	1	1968.0	2000.5	12.682950822892979	36.66148791716894	1.901490220073444	0.350991334143	0.477418798232	0.498176741327
320000	-459.873303267	-455.184539206	-4.68876406041	0.0879962580304	0.00149087760022	3	1	1968.0	2000.5	15.975757877128414	49.61340695576309	1.8940386547610768	0.390642993455	0.479173360392	0.497505623442
330000	-454.053114118	-452.979251512	-1.0738626067	0.0670943100185	0.00388074133328	3	2	1968.0	2000.5	31.330567550524336	125.90084737639351	2.6700123798842097	0.302399881159	0.476671631744	0.500215181015
340000	-464.00703609	-454.373154859	-9.63388123146	0.0976016336502	0.0120650675841	4	2	1968.0	2000.5	28.680857649120885	29.890108867525143	3.8599709197414436	0.373410561188	0.509973434034	0.526186382601
350000	-460.486049468	-452.134160784	-8.35188868403	0.0761839220239	0.00224359986497	3	1	1968.0	2000.5	42.20380623633243	7.571647983507796	2.362202731493928	0.369006501112	0.482482284008	0.498432397978
360000	-459.480182855	-451.478494089	-8.00168876652	0.0762714143466	0.000862062964947	3	1	1968.0	2000.5	12.571595893658104	18.31318768750142	1.6465987113539005	0.377415396802	0.483356161919	0.493928966938
370000	-461.054736421	-455.899195971	-5.15554044985	0.0617246676482	0.00298080054216	3	1	1968.0	2000.5	31.567235950185555	13.266206090553455	2.081309218797635	0.296074476608	0.482054847548	0.502609892604
380000	-460.618356154	-454.197734556	-6.42062159737	0.0880223781192	0.0022681484822	3	1	1968.0	2000.5	22.31673106225691	16.703578915436108	1.369012839871423	0.41091171327	0.477972402579	0.49725211719
390000	-458.37054512	-451.878877655	-6.49166746578	0.074690720705	0.00111756687658	3	1	1968.0	2000.5	21.705708091799668	31.626782782918998	3.8989338996201583	0.376035916303	0.484286713694	0.493548902901
400000	-458.86502749	-453.298786614	-5.56624087576	0.0799211175677	0.00297536169227	3	1	1968.0	2000.5	28.521236439266147	16.533426237116842	1.91983809316739	0.373967562241	0.47942460501	0.500650599204
410000	-464.541592509	-456.553505441	-7.98808706799	0.0818929990869	0.00201326784934	4	1	1968.0	2000.5	22.51215782616409	35.612347691353534	1.6918070248654218	0.362360338138	0.637691498297	0.648293569928
420000	-456.604078888	-451.810460867	-4.79361802113	0.0693444194514	0.00102536056413	3	1	1968.0	2000.5	23.65656577801336	38.637932413386494	2.4001304207281464	0.331086055763	0.480638886763	0.495448983282
