clade	species	ts	te		
0	1	2010	2016		
0	2	2007	2012		
0	3	2011	2017		
0	4	2014	2015		
0	5	2010	2012		
0	6	2003	2016		
0	7	2010	2010		
0	8	2016	2018		
0	9	2013	2018		
0	10	2016	2017		
0	11	2015	2018		
0	12	2016	2018		
0	13	2015	2018		
0	14	1996	2005		
0	15	1998	2000		
0	16	1994	1999		
0	17	1994	2011		
0	18	2016	2018		
0	19	1997	2001		
0	20	1999	2010		
0	21	1999	1999		
0	22	2000	2004		
0	23	1999	2009		
0	24	1997	2007		
0	25	2009	2011		
0	26	2006	2014		
0	27	2008	2013		
0	28	2009	2013		
0	29	2010	2010		
0	30	2005	2012		
0	31	2005	2011		
0	32	2008	2014		
0	33	1996	1996		
0	34	2002	2002		
0	35	2003	2003		
0	36	1997	2001		
0	37	1997	2001		
0	38	1995	2001		
0	39	1996	1996		
0	40	2001	2001		
0	41	1996	1996		
0	42	1996	1996		
0	43	2006	2013		
0	44	2012	2016		
0	45	1999	2003		
0	46	1998	2010		
0	47	2004	2004		
0	48	1996	2004		
0	49	1998	2003		
0	50	2001	2010		
0	51	2000	2007		
0	52	2016	2018		
0	53	1996	2012		
0	54	2006	2013		
0	55	1999	2008		
0	56	1997	2001		
0	57	2001	2001		
0	58	1999	2007		
0	59	1998	2013		
0	60	2011	2011		
0	61	2012	2015		
0	62	2016	2018		
0	63	2015	2018		
0	64	2013	2015		
0	65	2013	2015		
0	66	2015	2018		
0	67	2013	2018		
0	68	2017	2018		
0	69	2012	2017		
0	70	2013	2016		
0	71	2015	2018		
0	72	2015	2018		
0	73	2014	2015		
0	74	2014	2017		
0	75	1996	1996		
