id	ts	te
0	0	4
1	0	3
2	0	1
3	0	16
4	0	7
5	0	6
6	0	4
7	0	0
8	0	1
9	0	7
10	0	7
11	0	11
12	0	5
13	0	3
14	0	1
15	0	20
16	0	6
17	0	11
18	0	4
19	0	8
20	0	7
21	0	6
22	0	6
23	0	4
24	0	12
25	0	0
26	0	6
27	0	13
28	0	19
29	0	0
30	0	7
31	0	30
32	0	5
33	0	7
34	0	2
35	0	1
36	0	5
37	0	10
38	0	9
39	0	16
40	0	8
41	0	5
42	0	10
43	0	10
44	0	1
45	0	4
46	0	2
47	0	0
48	0	9
49	0	12
50	0	22
51	0	5
52	0	11
53	0	6
54	0	4
55	0	6
56	0	7
57	0	7
58	0	10
59	0	8
60	0	0
61	0	4
62	0	7
63	0	14
64	0	0
65	0	29
66	0	15
67	0	17
68	0	3
69	0	5
70	0	3
71	0	1
72	0	14
73	0	18
74	0	14
75	0	5
76	0	13
77	0	1
78	0	12
79	0	8
80	0	7
81	0	4
82	0	2
83	0	5
84	0	19
85	0	9
86	0	5
87	0	5
88	0	10
89	0	4
90	0	2
91	0	3
92	0	8
93	0	9
94	0	1
95	0	17
96	0	10
97	0	5
98	0	6
99	0	14
100	0	2
101	0	8
102	0	1
103	0	2
104	0	3
105	0	9
106	0	3
107	0	9
108	0	2
109	0	0
110	0	1
111	0	4
112	0	1
113	0	1
114	0	1
115	0	16
116	0	10
117	0	1
118	0	0
119	0	1
120	0	25
121	0	1
122	0	2
123	0	6
124	0	4
125	0	1
126	0	2
127	0	1
128	0	6
129	0	7
130	0	6
131	0	23
132	0	5
133	0	1
134	0	6
135	0	2
136	0	3
137	0	1
138	0	5
139	0	7
140	0	1
141	0	3
142	0	8
143	0	12
144	0	24
145	0	2
146	0	1
147	0	14
148	0	3
149	0	5
150	0	9
151	0	20
152	0	6
153	0	16
154	0	6
155	0	27
156	0	4
157	0	8
158	0	3
159	0	8
160	0	5
161	0	8
162	0	3
163	0	0
164	0	6
165	0	1
166	0	15
167	0	4
168	0	0
169	0	11
170	0	6
171	0	2
172	0	19
173	0	4
174	0	7
175	0	35
176	0	16
177	0	2
178	0	0
179	0	2
180	0	14
181	0	5
182	0	3
183	0	1
184	0	5
185	0	6
186	0	1
187	0	2
188	0	10
189	0	23
190	0	1
191	0	8
192	0	3
193	0	16
194	0	3
195	0	8
196	0	1
197	0	5
198	0	5
199	0	13
200	0	11
201	0	3
202	0	5
203	0	0
204	0	1
205	0	2
206	0	5
207	0	20
208	0	5
209	0	0
210	0	0
211	0	4
212	0	3
213	0	20
214	0	0
215	0	3
216	0	9
217	0	1
218	0	0
219	0	15
220	0	2
221	0	8
222	0	2
223	0	15
