id	ts	te
0	0	1
1	0	3
2	0	3
3	0	30
4	0	0
5	0	13
6	0	2
7	0	16
8	0	4
9	0	2
10	0	6
11	0	11
12	0	1
13	0	6
14	0	1
15	0	0
16	0	5
17	0	4
18	0	7
19	0	4
20	0	7
21	0	13
22	0	8
23	0	6
24	0	18
25	0	3
26	0	9
27	0	4
28	0	1
29	0	7
30	0	4
31	0	6
32	0	3
33	0	8
34	0	0
35	0	4
36	0	3
37	0	9
38	0	4
39	0	0
40	0	14
41	0	5
42	0	10
43	0	20
44	0	16
45	0	0
46	0	18
47	0	15
48	0	13
49	0	4
50	0	0
51	0	4
52	0	0
53	0	0
54	0	2
55	0	9
56	0	11
57	0	8
58	0	6
59	0	7
60	0	2
61	0	0
62	0	10
63	0	7
64	0	4
65	0	4
66	0	1
67	0	14
68	0	7
69	0	3
70	0	8
71	0	4
72	0	14
73	0	16
74	0	5
75	0	9
76	0	8
77	0	10
78	0	13
79	0	12
80	0	13
81	0	5
82	0	3
83	0	21
84	0	7
85	0	24
86	0	0
87	0	19
88	0	15
89	0	18
90	0	4
91	0	3
92	0	2
93	0	5
94	0	3
95	0	5
96	0	0
97	0	2
98	0	5
99	0	2
100	0	7
101	0	7
102	0	5
103	0	18
104	0	18
105	0	6
106	0	2
107	0	0
108	0	1
109	0	16
110	0	0
111	0	11
112	0	19
113	0	3
114	0	12
115	0	19
116	0	0
117	0	8
118	0	6
119	0	13
120	0	6
121	0	1
122	0	11
123	0	3
124	0	2
125	0	5
126	0	6
127	0	2
128	0	3
129	0	1
130	0	5
131	0	10
132	0	2
133	0	1
134	0	10
135	0	17
136	0	4
137	0	17
138	0	14
139	0	0
140	0	10
141	0	1
142	0	1
143	0	12
144	0	5
145	0	2
146	0	15
147	0	15
148	0	11
149	0	7
150	0	19
151	0	15
152	0	8
153	0	1
154	0	1
155	0	0
156	0	3
157	0	9
158	0	6
159	0	8
160	0	10
161	0	10
162	0	10
163	0	2
164	0	4
165	0	8
166	0	0
167	0	3
168	0	13
169	0	6
170	0	14
171	0	3
172	0	3
173	0	1
174	0	11
175	0	0
176	0	7
177	0	3
178	0	15
